id,K1,K2,K3,K4,K5
6_6,0.98746,0.00001,0.00068,0.00001,0.01184
6_7,0.99222,0.00001,0.00001,0.00001,0.00775
6_5,0.98469,0.00001,0.00001,0.00001,0.01528
6_1,0.98072,0.00001,0.00001,0.00001,0.01926
6_2,0.99782,0.00001,0.00001,0.00001,0.00215
6_3,0.98198,0.00001,0.00001,0.00001,0.01799
6_8,0.96999,0.00001,0.00001,0.00001,0.02998
6_4,0.99333,0.00001,0.00001,0.00001,0.00664
59_1,0.94909,0.00001,0.00001,0.00001,0.05088
59_2,0.98396,0.00001,0.00001,0.00001,0.01600
59_3,0.91749,0.00001,0.00001,0.00001,0.08248
58_1,0.99996,0.00001,0.00001,0.00001,0.00001
58_2,0.98508,0.00001,0.00001,0.00001,0.01489
58_3,0.95718,0.00001,0.00001,0.00001,0.04279
57_5,0.99996,0.00001,0.00001,0.00001,0.00001
57_4,0.98572,0.00001,0.00001,0.00001,0.01425
57_1,0.99939,0.00001,0.00033,0.00001,0.00025
57_2,0.99996,0.00001,0.00001,0.00001,0.00001
57_3,0.99996,0.00001,0.00001,0.00001,0.00001
56_1,0.86107,0.00001,0.00001,0.00001,0.13890
56_2,0.99996,0.00001,0.00001,0.00001,0.00001
56_3,0.89910,0.00001,0.00001,0.00001,0.10087
55_1,0.99567,0.00001,0.00001,0.00001,0.00430
55_3,0.95268,0.01316,0.00001,0.00001,0.03415
55_4,0.96466,0.00001,0.00001,0.00001,0.03530
54_2,0.97989,0.00001,0.00001,0.00001,0.02008
53_1,0.92819,0.00001,0.00001,0.00001,0.07178
53_2,0.91608,0.00175,0.00001,0.00001,0.08215
53_3,0.94803,0.00001,0.00001,0.00134,0.05061
52_1,0.99212,0.00001,0.00001,0.00001,0.00785
52_2,0.98386,0.00001,0.00001,0.00001,0.01612
52_4,0.99243,0.00001,0.00001,0.00135,0.00620
52_3,0.98836,0.00001,0.00002,0.00001,0.01161
51_1,0.98395,0.00001,0.00001,0.00001,0.01602
51_2,0.99996,0.00001,0.00001,0.00001,0.00001
51_4,0.99996,0.00001,0.00001,0.00001,0.00001
51_3,0.95290,0.00001,0.00001,0.00001,0.04707
50_1,0.63995,0.00001,0.00001,0.00001,0.36002
50_2,0.98501,0.00001,0.00001,0.00001,0.01496
50_4,0.84703,0.00001,0.00001,0.00001,0.15293
5_1,0.98920,0.00001,0.01077,0.00001,0.00001
5_2,0.97072,0.00813,0.02113,0.00001,0.00001
5_3,0.96477,0.00001,0.03520,0.00001,0.00001
49_1,0.96721,0.00001,0.00001,0.00001,0.03276
49_3,0.99278,0.00001,0.00001,0.00001,0.00719
49_2,0.96962,0.00001,0.00001,0.00770,0.02265
49_4,0.93079,0.00001,0.00001,0.00001,0.06918
48_1,0.99996,0.00001,0.00001,0.00001,0.00001
48_2,0.99996,0.00001,0.00001,0.00001,0.00001
48_3,0.99996,0.00001,0.00001,0.00001,0.00001
48_5,0.99996,0.00001,0.00001,0.00001,0.00001
48_4,0.99996,0.00001,0.00001,0.00001,0.00001
47_3,0.94683,0.00001,0.00001,0.00001,0.05314
47_4,0.96057,0.00001,0.00001,0.00001,0.03940
47_1,0.99996,0.00001,0.00001,0.00001,0.00001
46_1,0.94607,0.00001,0.00001,0.00001,0.05390
46_2,0.99996,0.00001,0.00001,0.00001,0.00001
46_5,0.99996,0.00001,0.00001,0.00001,0.00001
46_4,0.96436,0.00001,0.00001,0.00001,0.03561
46_3,0.99996,0.00001,0.00001,0.00001,0.00001
46_6,0.99996,0.00001,0.00001,0.00001,0.00001
45_1,0.88842,0.03752,0.00001,0.00001,0.07404
45_2,0.95036,0.00001,0.00001,0.00001,0.04961
45_4,0.91951,0.00001,0.00001,0.00001,0.08046
45_5,0.94919,0.00001,0.00001,0.00001,0.05078
45_3,0.92726,0.03279,0.00001,0.00001,0.03993
44_1,0.97024,0.00001,0.00001,0.00001,0.02973
44_2,0.98203,0.00001,0.00001,0.00001,0.01794
44_3,0.98070,0.00001,0.00001,0.00001,0.01927
43_1,0.99996,0.00001,0.00001,0.00001,0.00001
43_2,0.99996,0.00001,0.00001,0.00001,0.00001
43_3,0.99996,0.00001,0.00001,0.00001,0.00001
43_4,0.99996,0.00001,0.00001,0.00001,0.00001
42_1,0.98732,0.00001,0.00001,0.00001,0.01265
42_2,0.95441,0.00001,0.00001,0.00001,0.04556
42_4,0.99430,0.00001,0.00001,0.00001,0.00567
42_3,0.94273,0.00001,0.00001,0.00001,0.05724
41_2,0.99996,0.00001,0.00001,0.00001,0.00001
41_1,0.99567,0.00001,0.00001,0.00001,0.00430
41_3,0.99996,0.00001,0.00001,0.00001,0.00001
40_2,0.94446,0.00001,0.00001,0.00001,0.05551
40_1,0.99996,0.00001,0.00001,0.00001,0.00001
40_4,0.97696,0.00001,0.00001,0.00001,0.02301
40_3,0.99455,0.00001,0.00001,0.00001,0.00542
4_3,0.99965,0.00001,0.00032,0.00001,0.00001
4_1,0.99996,0.00001,0.00001,0.00001,0.00001
4_4,0.99996,0.00001,0.00001,0.00001,0.00001
4_2,0.94460,0.00001,0.00001,0.00001,0.05537
39_5,0.99410,0.00587,0.00001,0.00001,0.00001
39_1,0.94662,0.00001,0.00001,0.00001,0.05335
39_2,0.93392,0.01320,0.00120,0.00001,0.05168
39_3,0.93671,0.00001,0.00001,0.00001,0.06326
37_1,0.95249,0.00463,0.00001,0.00001,0.04286
37_2,0.99996,0.00001,0.00001,0.00001,0.00001
37_5,0.99996,0.00001,0.00001,0.00001,0.00001
37_4,0.99996,0.00001,0.00001,0.00001,0.00001
37_3,0.99996,0.00001,0.00001,0.00001,0.00001
36_1,0.99996,0.00002,0.00001,0.00001,0.00001
35_1,0.99996,0.00001,0.00001,0.00001,0.00001
35_2,0.99778,0.00001,0.00001,0.00001,0.00219
35_3,0.99996,0.00001,0.00001,0.00001,0.00001
35_6,0.99996,0.00001,0.00001,0.00001,0.00001
35_5,0.99996,0.00001,0.00001,0.00001,0.00001
35_4,0.67527,0.03674,0.00001,0.00001,0.28797
35_7,0.99996,0.00001,0.00001,0.00001,0.00001
34_1,0.99996,0.00001,0.00001,0.00001,0.00001
34_3,0.54529,0.00001,0.00001,0.00001,0.45468
33_3,0.99996,0.00001,0.00001,0.00001,0.00001
33_1,0.99996,0.00001,0.00001,0.00001,0.00001
33_2,0.97448,0.01310,0.00001,0.00001,0.01241
33_5,0.99996,0.00001,0.00001,0.00001,0.00001
32_1,0.99996,0.00001,0.00001,0.00001,0.00001
32_2,0.99765,0.00001,0.00001,0.00001,0.00232
32_3,0.99996,0.00001,0.00001,0.00001,0.00001
31_1,0.99938,0.00001,0.00059,0.00001,0.00001
31_2,0.89247,0.00001,0.00001,0.00001,0.10750
31_3,0.88656,0.00001,0.00001,0.00001,0.11341
30_1,0.95913,0.00001,0.00001,0.00001,0.04084
30_2,0.98962,0.01034,0.00002,0.00001,0.00001
30_3,0.99996,0.00001,0.00001,0.00001,0.00001
3_1,0.99996,0.00001,0.00001,0.00001,0.00001
3_2,0.99996,0.00001,0.00001,0.00001,0.00001
3_4,0.96840,0.00001,0.00001,0.00001,0.03157
29_1,0.99011,0.00001,0.00001,0.00001,0.00986
29_2,0.99470,0.00527,0.00001,0.00001,0.00001
29_3,0.99102,0.00001,0.00001,0.00001,0.00895
28_1,0.99996,0.00001,0.00001,0.00001,0.00001
28_2,0.92110,0.00001,0.00001,0.00001,0.07887
28_3,0.94884,0.00001,0.00001,0.00001,0.05113
27_1,0.99996,0.00001,0.00001,0.00001,0.00001
27_2,0.99996,0.00001,0.00001,0.00001,0.00001
27_4,0.99996,0.00001,0.00001,0.00001,0.00001
27_3,0.99937,0.00001,0.00001,0.00001,0.00060
26_2,0.94752,0.00001,0.00001,0.00001,0.05245
26_1,0.99996,0.00001,0.00001,0.00001,0.00001
26_3,0.99770,0.00001,0.00001,0.00001,0.00227
26_4,0.95951,0.00001,0.00001,0.00001,0.04047
26_5,0.95713,0.00001,0.00001,0.00001,0.04284
25_1,0.99709,0.00001,0.00001,0.00001,0.00288
25_2,0.99996,0.00001,0.00001,0.00001,0.00001
25_4,0.99996,0.00001,0.00001,0.00001,0.00001
25_3,0.98879,0.00001,0.00001,0.00001,0.01118
24_4,0.98382,0.00001,0.00001,0.00001,0.01615
24_1,0.99996,0.00001,0.00001,0.00001,0.00001
24_2,0.99996,0.00001,0.00001,0.00001,0.00001
24_3,0.96639,0.00001,0.00001,0.00001,0.03358
24_6,0.99452,0.00001,0.00001,0.00001,0.00545
24_5,0.97350,0.00001,0.00001,0.00001,0.02647
23_1,0.99680,0.00001,0.00001,0.00001,0.00317
23_2,0.93233,0.00001,0.00001,0.00001,0.06764
23_3,0.94946,0.00001,0.00001,0.00001,0.05051
22_1,0.97497,0.00001,0.00001,0.00001,0.02500
22_2,0.92494,0.00001,0.00001,0.00001,0.07503
22_4,0.96381,0.00001,0.00001,0.00001,0.03616
22_3,0.94516,0.00001,0.00001,0.00001,0.05481
